Rk,Squad,# Pl,Weekly Wages,Annual Wages,% Estimated
1,Real Madrid,79,€ 6850000 (£ 5743782 $6980915),€ 356200000 (£ 298676682 $363007586),46%
2,Barcelona,69,€ 6631731 (£ 5560762 $6758474),€ 344850000 (£ 289159607 $351440667),41%
3,Atlético Madrid,68,€ 3182692 (£ 2668714 $3243519),€ 165500000 (£ 138773134 $168662987),56%
4,Valencia,74,€ 1448846 (£ 1214870 $1476536),€ 75340000 (£ 63173220 $76779876),73%
5,Sevilla,74,€ 1259808 (£ 1056359 $1283885),€ 65510000 (£ 54930679 $66762006),76%
6,Villarreal,78,€ 1142115 (£ 957673 $1163943),€ 59390000 (£ 49799012 $60525042),86%
7,Athletic Club,76,€ 929423 (£ 779329 $947186),€ 48330000 (£ 40525107 $49253671),100%
8,Real Sociedad,73,€ 751731 (£ 630333 $766098),€ 39090000 (£ 32777291 $39837075),100%
9,Celta Vigo,75,€ 721731 (£ 605177 $735524),€ 37530000 (£ 31469218 $38247261),96%
10,Betis,73,€ 696538 (£ 584053 $709850),€ 36220000 (£ 30370776 $36912224),100%
11,Leganés,77,€ 679231 (£ 569541 $692212),€ 35320000 (£ 29616119 $35995024),99%
12,Espanyol,81,€ 644615 (£ 540515 $656935),€ 33520000 (£ 28106802 $34160623),100%
13,Getafe,79,€ 508846 (£ 426672 $518571),€ 26460000 (£ 22186931 $26965696),100%
14,Alavés,82,€ 468558 (£ 392890 $477513),€ 24365000 (£ 20430254 $24830655),100%
15,Granada,70,€ 421731 (£ 353625 $429791),€ 21930000 (£ 18388487 $22349118),100%
16,Levante,71,€ 360577 (£ 302347 $367468),€ 18750000 (£ 15722030 $19108346),100%
17,Eibar,70,€ 355385 (£ 297993 $362177),€ 18480000 (£ 15495639 $18833186),100%
18,Valladolid,78,€ 290192 (£ 243329 $295738),€ 15090000 (£ 12653093 $15378396),100%
19,Osasuna,79,€ 272692 (£ 228655 $277904),€ 14180000 (£ 11890050 $14451004),100%
20,Mallorca,82,€ 240769 (£ 201887 $245371),€ 12520000 (£ 10498125 $12759279),100%
