Rk,Squad,# Pl,Weekly Wages,Annual Wages,% Estimated
1,Barcelona,83,€ 6766923 (£ 5674122 $6896250),€ 351880000 (£ 295054323 $358605024),22%
2,Real Madrid,70,€ 6044038 (£ 5067977 $6159550),€ 314290000 (£ 263534797 $320296616),0%
3,Atlético Madrid,68,€ 3276731 (£ 2747566 $3339355),€ 170390000 (£ 142873440 $173646443),37%
4,Villarreal,78,€ 1857115 (£ 1557207 $1892608),€ 96570000 (£ 80974753 $98415618),56%
5,Sevilla,78,€ 1797885 (£ 1507541 $1832245),€ 93490000 (£ 78392148 $95276751),67%
6,Valencia,78,€ 1449808 (£ 1215676 $1477516),€ 75390000 (£ 63215147 $76830834),67%
7,Athletic Club,80,€ 1394615 (£ 1169397 $1421269),€ 72520000 (£ 60808628 $73905978),96%
8,Real Sociedad,81,€ 981538 (£ 823028 $1000297),€ 51040000 (£ 42797468 $52015463),96%
9,Celta Vigo,72,€ 815000 (£ 683384 $830576),€ 42380000 (£ 35535983 $43189954),96%
10,Betis,81,€ 760385 (£ 637589 $774917),€ 39540000 (£ 33154621 $40295678),100%
11,Granada,80,€ 520385 (£ 436347 $530330),€ 27060000 (£ 22690035 $27577161),98%
12,Getafe,71,€ 495962 (£ 415868 $505440),€ 25790000 (£ 21625130 $26282889),100%
13,Osasuna,77,€ 483462 (£ 405387 $492701),€ 25140000 (£ 21080100 $25620469),100%
14,Alavés,77,€ 450192 (£ 377490 $458796),€ 23410000 (£ 19629481 $23857405),97%
15,Valladolid,79,€ 446731 (£ 374588 $455269),€ 23230000 (£ 19478551 $23673967),96%
16,Cádiz,85,€ 373269 (£ 312989 $380403),€ 19410000 (£ 16275446 $19780961),100%
17,Levante,72,€ 358654 (£ 300734 $365508),€ 18650000 (£ 15638183 $19006435),100%
18,Eibar,74,€ 358462 (£ 300573 $365312),€ 18640000 (£ 15629794 $18996243),100%
19,Huesca,81,€ 330962 (£ 277514 $337287),€ 17210000 (£ 14430730 $17538912),98%
20,Elche,72,€ 259712 (£ 217770 $264675),€ 13505000 (£ 11324057 $13763102),97%
