,Season,rank,team,wins,draws,losses,goals_for,goals_against,goals_diff,points,avg_points,SoT
15,2003-04,16,Espanyol,13.0,4.0,21.0,48.0,64.0,-16.0,43.0,1.13,157.0
16,2003-04,17,Racing Sant,11.0,10.0,17.0,48.0,63.0,-15.0,43.0,1.13,155.0
17,2003-04,18,Valladolid,10.0,11.0,17.0,46.0,56.0,-10.0,41.0,1.08,158.0
18,2003-04,19,Celta Vigo,9.0,12.0,17.0,48.0,68.0,-20.0,39.0,1.03,186.0
19,2003-04,20,Real Murcia,5.0,11.0,22.0,29.0,57.0,-28.0,26.0,0.68,136.0
0,2002-03,1,Real Madrid,22.0,12.0,4.0,86.0,42.0,44.0,78.0,2.05,244.0
1,2002-03,2,Real Sociedad,22.0,10.0,6.0,71.0,45.0,26.0,76.0,2.0,203.0
2,2002-03,3,La Coruña,22.0,6.0,10.0,67.0,47.0,20.0,72.0,1.89,219.0
3,2002-03,4,Celta Vigo,17.0,10.0,11.0,45.0,36.0,9.0,61.0,1.61,158.0
4,2002-03,5,Valencia,17.0,9.0,12.0,56.0,35.0,21.0,60.0,1.58,182.0
5,2002-03,6,Barcelona,15.0,11.0,12.0,63.0,47.0,16.0,56.0,1.47,216.0
6,2002-03,7,Athletic Club,15.0,10.0,13.0,63.0,61.0,2.0,55.0,1.45,188.0
7,2002-03,8,Betis,14.0,12.0,12.0,56.0,53.0,3.0,54.0,1.42,170.0
8,2002-03,9,Mallorca,14.0,10.0,14.0,49.0,56.0,-7.0,52.0,1.37,184.0
9,2002-03,10,Sevilla,13.0,11.0,14.0,38.0,39.0,-1.0,50.0,1.32,173.0
10,2002-03,11,Osasuna,12.0,11.0,15.0,40.0,48.0,-8.0,47.0,1.24,169.0
11,2002-03,12,Atlético Madrid,12.0,11.0,15.0,51.0,56.0,-5.0,47.0,1.24,218.0
12,2002-03,13,Málaga,11.0,13.0,14.0,44.0,49.0,-5.0,46.0,1.21,170.0
13,2002-03,14,Valladolid,12.0,10.0,16.0,37.0,40.0,-3.0,46.0,1.21,138.0
14,2002-03,15,Villarreal,11.0,12.0,15.0,44.0,53.0,-9.0,45.0,1.18,176.0
15,2002-03,16,Racing Sant,13.0,5.0,20.0,54.0,64.0,-10.0,44.0,1.16,182.0
16,2002-03,17,Espanyol,10.0,13.0,15.0,48.0,54.0,-6.0,43.0,1.13,180.0
17,2002-03,18,Recreativo,8.0,12.0,18.0,35.0,61.0,-26.0,36.0,0.95,141.0
18,2002-03,19,Alavés,8.0,11.0,19.0,38.0,68.0,-30.0,35.0,0.92,144.0
19,2002-03,20,Rayo Vallecano,7.0,11.0,20.0,31.0,62.0,-31.0,32.0,0.84,137.0
0,2001-02,1,Valencia,21.0,12.0,5.0,51.0,27.0,24.0,75.0,1.97,210.0
1,2001-02,2,La Coruña,20.0,8.0,10.0,65.0,41.0,24.0,68.0,1.79,217.0
2,2001-02,3,Real Madrid,19.0,9.0,10.0,69.0,44.0,25.0,66.0,1.74,239.0
3,2001-02,4,Barcelona,18.0,10.0,10.0,65.0,37.0,28.0,64.0,1.68,260.0
4,2001-02,5,Celta Vigo,16.0,12.0,10.0,64.0,46.0,18.0,60.0,1.58,225.0
5,2001-02,6,Betis,15.0,14.0,9.0,42.0,34.0,8.0,59.0,1.55,201.0
6,2001-02,7,Alavés,17.0,3.0,18.0,41.0,44.0,-3.0,54.0,1.42,169.0
7,2001-02,8,Sevilla,14.0,11.0,13.0,51.0,40.0,11.0,53.0,1.39,185.0
8,2001-02,9,Athletic Club,14.0,11.0,13.0,54.0,66.0,-12.0,53.0,1.39,198.0
9,2001-02,10,Málaga,13.0,14.0,11.0,44.0,44.0,0.0,53.0,1.39,182.0
10,2001-02,11,Rayo Vallecano,13.0,10.0,15.0,46.0,52.0,-6.0,49.0,1.29,168.0
11,2001-02,12,Valladolid,13.0,9.0,16.0,45.0,58.0,-13.0,48.0,1.26,178.0
12,2001-02,13,Real Sociedad,13.0,8.0,17.0,48.0,54.0,-6.0,47.0,1.24,189.0
13,2001-02,14,Espanyol,13.0,8.0,17.0,47.0,56.0,-9.0,47.0,1.24,191.0
14,2001-02,15,Villarreal,11.0,10.0,17.0,46.0,55.0,-9.0,43.0,1.13,187.0
15,2001-02,16,Mallorca,11.0,10.0,17.0,40.0,52.0,-12.0,43.0,1.13,154.0
16,2001-02,17,Osasuna,10.0,12.0,16.0,36.0,49.0,-13.0,42.0,1.11,145.0
17,2001-02,18,Las Palmas,9.0,13.0,16.0,40.0,50.0,-10.0,40.0,1.05,149.0
18,2001-02,19,Tenerife,10.0,8.0,20.0,32.0,58.0,-26.0,38.0,1.0,142.0
19,2001-02,20,Zaragoza,9.0,10.0,19.0,35.0,54.0,-19.0,37.0,0.97,147.0
0,2000-01,1,Real Madrid,24.0,8.0,6.0,81.0,40.0,41.0,80.0,2.11,258.0
1,2000-01,2,La Coruña,22.0,7.0,9.0,73.0,44.0,29.0,73.0,1.92,226.0
2,2000-01,3,Mallorca,20.0,11.0,7.0,61.0,43.0,18.0,71.0,1.87,200.0
3,2000-01,4,Barcelona,17.0,12.0,9.0,80.0,57.0,23.0,63.0,1.66,259.0
4,2000-01,5,Valencia,18.0,9.0,11.0,55.0,34.0,21.0,63.0,1.66,202.0
5,2000-01,6,Celta Vigo,16.0,11.0,11.0,51.0,49.0,2.0,59.0,1.55,182.0
6,2000-01,7,Villarreal,16.0,9.0,13.0,58.0,52.0,6.0,57.0,1.5,211.0
7,2000-01,8,Málaga,16.0,8.0,14.0,60.0,61.0,-1.0,56.0,1.47,176.0
8,2000-01,9,Espanyol,14.0,8.0,16.0,46.0,44.0,2.0,50.0,1.32,190.0
9,2000-01,10,Alavés,14.0,7.0,17.0,58.0,59.0,-1.0,49.0,1.29,181.0
10,2000-01,11,Las Palmas,13.0,7.0,18.0,42.0,62.0,-20.0,46.0,1.21,148.0
11,2000-01,12,Athletic Club,11.0,10.0,17.0,44.0,60.0,-16.0,43.0,1.13,154.0
12,2000-01,13,Real Sociedad,11.0,10.0,17.0,52.0,68.0,-16.0,43.0,1.13,169.0
13,2000-01,14,Rayo Vallecano,10.0,13.0,15.0,56.0,68.0,-12.0,43.0,1.13,165.0
14,2000-01,15,Osasuna,10.0,12.0,16.0,43.0,54.0,-11.0,42.0,1.11,149.0
15,2000-01,16,Valladolid,9.0,15.0,14.0,42.0,50.0,-8.0,42.0,1.11,181.0
16,2000-01,17,Zaragoza,9.0,15.0,14.0,54.0,57.0,-3.0,42.0,1.11,212.0
17,2000-01,18,Oviedo,11.0,8.0,19.0,51.0,67.0,-16.0,41.0,1.08,196.0
18,2000-01,19,Racing Sant,10.0,9.0,19.0,48.0,62.0,-14.0,39.0,1.03,168.0
19,2000-01,20,Numancia,10.0,9.0,19.0,40.0,64.0,-24.0,39.0,1.03,182.0
